student_id,student_name,age,gender,country,state,education_level,employment_status,industry,years_of_experience,course_name,course_category,course_fee,engagement_score,progress_percent,enrollment_date,last_active_date,assignment_submission_rate,attendance_rate,satisfaction_rating,dropout_probability,dropout_status
10,"Roswitha Blümel",32,unknown,Germany,Berlin,Undergraduate,unknown,Others,3.1,"Fintech Fundamentals",Finance,1900,0.88,0,2022-08-24,2025-04-09,0.62,0.76,4,0.27,"Not Likely"
11,"Pratyush Dhar",32,Male,India,"Tamil Nadu",Undergraduate,unknown,Finance,7.3,"Leadership Development",HR,1500,0.68,80,2021-03-16,2025-05-03,0.88,0.59,1,0.31,"Not Likely"
12,"Orinder Sinha",32,Male,India,Maharashtra,Graduate,Unemployed,IT,3.6,"Personal Finance Mastery",Finance,1850,0.39,58,2020-02-21,0000-00-00,0.82,0.79,3,0.43,"May Leave"
13,"Brijesh Sarin",32,Female,India,Maharashtra,Undergraduate,Freelancer,Education,0,"Negotiation & Influence",Business,1400,0.38,30,2022-08-30,2025-04-22,0.8,0.67,4,0.56,"May Leave"
14,"Geetika Barman",32,unknown,India,Maharashtra,unknown,Unemployed,,7,"AI Product Management","AI & Data Science",2650,0.26,0,2020-05-21,2025-04-22,0.7,0.56,4,0.58,"May Leave"
15,"Manya Dayal",38,Female,India,Karnataka,Graduate,Unemployed,Others,8.3,"Personal Finance Mastery",Finance,1850,0.85,0,2022-08-19,2025-04-19,0.07,0.8,3,0.27,"Not Likely"
16,"Derek Jordan",19,Other,USA,California,Postgraduate,Student,,5.7,"AI for Business","AI & Data Science",2200,0.04,74,2020-12-15,2025-03-22,0.61,0.89,2,0.49,"May Leave"
17,"Steven Friedman",32,Other,USA,California,Diploma,Unemployed,Finance,6.3,"Business Analytics with Excel",Business,1550,2.21,14,2023-03-03,2025-03-08,0.51,0.66,3,0.56,"May Leave"
18,"Ms Bethan King",32,Other,UK,Wales,unknown,Student,IT,0,"Business Communication",Business,1300,0.14,0,2021-06-05,2025-02-02,0.34,0.88,2,0.53,"May Leave"
19,"Margaret Spencer",36,Male,UK,Wales,Postgraduate,unknown,IT,2.9,"Deep Learning Essentials","AI & Data Science",2300,0.28,0,2021-03-03,2025-01-02,0.26,0.84,5,0.49,"May Leave"
20,"Bob Solis",32,Female,Canada,Alberta,Diploma,Employed,,0,"Negotiation & Influence",Business,1550,0.15,0,2022-07-22,2025-02-18,0.74,0.99,3,0.49,"May Leave"
21,"Owen Choudhary",32,Female,India,Karnataka,Undergraduate,unknown,IT,0,"Data Engineering with Python","AI & Data Science",2650,2.21,83,2020-02-16,2025-03-11,0.43,0.43,3,0.42,"May Leave"
22,"Meera Bala",32,unknown,India,"Tamil Nadu",Postgraduate,Employed,IT,0,"Project Management Pro",Operations,1750,0.95,0,2023-12-05,0000-00-00,0.07,0.87,3,0.21,"Not Likely"
23,"Katelyn Mcclure",18,Male,USA,Illinois,Diploma,unknown,Others,0,"Talent Acquisition & Hiring",HR,1400,0.87,0,2020-04-20,2025-02-07,0.79,0.41,3,0.38,"Not Likely"
24,"Melissa Davis",36,Female,USA,Florida,Postgraduate,Student,Others,4.5,"Quantitative Finance with Python",Finance,2200,0.26,67,2020-02-10,2025-01-27,0.05,0.6,4,0.51,"May Leave"
25,"Anamika Venkataraman",32,unknown,India,"West Bengal",unknown,Employed,Education,0,"Performance Management",HR,1300,0.43,95,2023-06-28,2025-02-12,0.71,0.77,1,0.31,"Not Likely"
26,"Jalsa Chad",32,Female,India,"Tamil Nadu",unknown,unknown,Education,0,"AI for Business","AI & Data Science",2200,0.56,0,2021-07-07,2025-03-25,0.87,0.66,1,0.43,"May Leave"
27,"Erdal Gutknecht B.A.",18,Other,Germany,Bavaria,Graduate,Freelancer,Finance,0,"MLOps Mastery","AI & Data Science",2450,0.62,0,2020-11-27,2025-01-24,0.71,0.94,3,0.32,"Not Likely"
28,"Jason Chambers-Hughes",26,Male,UK,Scotland,Diploma,Employed,Education,0,"Lean Six Sigma",Operations,1650,0.44,0,2024-11-13,2025-01-23,0.98,0.6,0,0.49,"May Leave"
29,"Jeremy Horne MD",27,unknown,USA,Illinois,Undergraduate,unknown,Others,0,"AI for Business","AI & Data Science",2200,0.8,0,2022-03-14,2025-01-18,0.75,0.64,5,0.34,"Not Likely"
30,"Veronica Sanchez",32,Female,USA,California,unknown,Employed,Others,0,"Data Engineering with Python","AI & Data Science",2600,0.43,1,2025-02-05,2025-04-09,0.51,0.71,5,0.61,"May Leave"
31,"Lakshmi Oza",32,Other,India,"West Bengal",Diploma,Student,Others,0,"AI for Business","AI & Data Science",2250,0.19,94,2023-05-17,2025-01-08,0.6,0.66,0,0.44,"May Leave"
32,"Gabriel Hill",32,Other,Singapore,Singapore,Undergraduate,Unemployed,Marketing,4.3,"Organizational Behavior",HR,1150,0.38,0,2025-04-19,2025-04-25,0.7,0.96,1,0.41,"May Leave"
33,"Ryan Lall",42,Male,India,Delhi,Graduate,Employed,IT,0,"Marketing Analytics",Marketing,1650,0.6,0,2023-01-17,2025-03-21,0.4,0.79,0,0.37,"Not Likely"
34,"Ijaya Muni",32,Male,India,Karnataka,Diploma,Employed,,9.2,"Performance Management",HR,1300,0.63,0,2024-06-07,2025-04-04,0.89,0.82,3,0.35,"Not Likely"
35,"Valerie Schofield",39,Other,UK,England,Diploma,Employed,IT,0,"Deep Learning Essentials","AI & Data Science",2300,0.66,0,2020-12-10,2025-01-03,0.15,0.94,2,0.3,"Not Likely"
36,"James Martin",32,unknown,Canada,Alberta,Undergraduate,Student,Others,1,"Deep Learning Essentials","AI & Data Science",2300,0.99,0,2021-11-18,2025-02-13,0.09,0.83,3,0.2,"Not Likely"
37,"Arya Pillay",36,Male,India,"Tamil Nadu",Graduate,Freelancer,,0,"MLOps Mastery","AI & Data Science",2550,0.91,10,2023-07-01,2025-02-28,0.15,0.59,1,0.43,"May Leave"
38,"Chaman Kalita",38,Other,India,"West Bengal",Diploma,Unemployed,Finance,2.4,"Data Engineering with Python","AI & Data Science",2650,0.4,22,2025-01-08,0000-00-00,0.45,0.95,0,0.49,"May Leave"
39,"Mijo Adolph",32,Other,Germany,Berlin,Undergraduate,Unemployed,Education,0,"LLMs and Generative AI","AI & Data Science",2750,0.51,22,2022-12-05,2025-03-02,0.72,0.6,0,0.55,"May Leave"
40,"Hredhaan Dubey",26,unknown,India,Karnataka,Diploma,unknown,Finance,0,"Machine Learning Pro","AI & Data Science",2300,0.22,13,2022-03-22,2025-04-15,0.6,0.76,3,0.65,"May Leave"
41,"Dr Arthur Knight",33,Female,UK,Scotland,Graduate,Employed,Marketing,0,"Strategic Thinking",Business,1450,0.95,0,2024-02-06,2025-02-27,0.73,0.46,5,0.33,"Not Likely"
42,"Daniel Williams",36,Male,USA,"New York",Postgraduate,unknown,Marketing,0,"AI Product Management","AI & Data Science",2600,0.2,26,2023-01-14,2025-01-31,0.59,0.99,4,0.54,"May Leave"
43,"Jasmit Chana",32,Other,India,Karnataka,Diploma,Student,Finance,0.7,"Logistics & Supply Chain",Operations,1600,0.11,0,2024-07-25,2025-01-24,0.12,0.61,2,0.62,"May Leave"
44,"Carolyn James",18,unknown,Australia,Queensland,Undergraduate,Unemployed,Marketing,0,"Personal Finance Mastery",Finance,1850,0.12,47,2024-03-12,2025-01-29,0.15,0.45,0,0.68,"May Leave"
45,"Kelli Martinez",32,Female,USA,Illinois,unknown,unknown,IT,0,"Negotiation & Influence",Business,1550,0.87,0,2023-10-27,2025-04-10,0.8,0.87,4,0.24,"Not Likely"
46,"Dr Ronald White",32,unknown,UK,Scotland,Postgraduate,Unemployed,Marketing,0,"Growth Hacking",Marketing,1700,0.72,0,2024-09-22,2025-01-02,0.19,0.55,5,0.4,"Not Likely"
47,"Andrew Anderson",22,Other,USA,Florida,unknown,Student,IT,0,"NLP in Action","AI & Data Science",2350,0.81,0,2023-01-25,2025-03-25,0.73,0.98,3,0.23,"Not Likely"
48,"Janya Khanna",44,Other,India,"Tamil Nadu",Diploma,Unemployed,Others,0,"HR Analytics",HR,1400,0.01,0,2023-10-26,2025-02-15,0.08,0.79,2,0.61,"May Leave"
49,"Edwin David",39,unknown,Australia,Queensland,unknown,Student,Marketing,0,"AI for Business","AI & Data Science",2250,0.3,0,2021-10-05,2025-04-05,0.94,0.83,3,0.48,"May Leave"
50,"Gregory Harper",28,Male,Singapore,Singapore,Undergraduate,Student,Marketing,0,"Branding & Consumer Behavior",Marketing,1650,0.21,0,2023-08-14,2025-02-04,0.91,0.89,3,0.5,"May Leave"
51,"John Davis",38,Female,Australia,"New South Wales",Diploma,Employed,IT,0,"MLOps Mastery","AI & Data Science",2600,0.76,68,2024-06-23,0000-00-00,0.19,0.73,3,0.27,"Not Likely"
52,"Siddharth Bava",32,Female,India,"West Bengal",unknown,unknown,,0,"Investment Banking 101",Finance,2000,0.78,76,2020-06-21,2025-01-14,0.47,0.97,1,0.17,"Not Likely"
53,"Krishna Venkatesh",45,unknown,India,"West Bengal",Graduate,Freelancer,Finance,0,"Machine Learning Pro","AI & Data Science",2300,0.65,0,2024-05-23,2025-04-24,0.84,0.6,1,0.41,"May Leave"
54,"Ikshita Kant",27,Female,India,Karnataka,unknown,Employed,Marketing,0,"Entrepreneurship Essentials",Business,1600,0.03,65,2022-10-25,2025-03-12,0.89,0.98,5,0.5,"May Leave"
55,"Alfred Galvan",39,Female,USA,Florida,Diploma,Unemployed,IT,0,"LLMs and Generative AI","AI & Data Science",2750,0.68,6,2021-03-29,2025-01-27,0.64,0.88,2,0.45,"May Leave"
56,"James Miller",24,Male,Canada,Alberta,Diploma,Unemployed,Marketing,8.2,"Data Engineering with Python","AI & Data Science",2500,0.05,81,2021-11-19,2025-03-06,0.45,0.8,5,0.5,"May Leave"
57,"Dipta Ghose",32,Female,India,Delhi,unknown,Unemployed,Others,0,"Operations Strategy",Operations,1500,0.69,0,2024-08-24,2025-03-10,0.34,0.82,2,0.33,"Not Likely"
58,"Sarah Begum",32,Male,UK,"Northern Ireland",Undergraduate,Employed,Education,7.4,"Marketing Analytics",Marketing,1650,0.13,0,2020-01-30,2025-03-07,0,0.44,5,0.67,"May Leave"
59,"Samuel Jhaveri",32,Other,India,"Tamil Nadu",Graduate,Employed,Marketing,0,"Leadership Development",HR,1450,0.24,0,2024-07-11,2025-02-24,0.63,0.75,1,0.53,"May Leave"
60,"Alex Wood-Simpson",32,unknown,UK,England,unknown,Employed,,0,"Growth Hacking",Marketing,1650,0.34,4,2024-09-05,2025-03-15,0.78,0.81,0,0.61,"May Leave"
61,"Kenneth Underwood",32,unknown,Singapore,Singapore,unknown,unknown,,1.2,"Negotiation & Influence",Business,1550,2.21,0,2023-08-18,2025-02-03,0.74,0.97,5,0.36,"Not Likely"
62,"Dominic Narayan",35,Male,India,Delhi,unknown,Employed,,0,"Talent Acquisition & Hiring",HR,1350,0.79,38,2022-06-01,2025-02-18,0.93,0.63,0,0.38,"Not Likely"
63,"Ojasvi Bhatia",31,Male,India,"West Bengal",unknown,Student,IT,0,"Project Management Pro",Operations,1750,0.39,60,2024-12-19,2025-01-04,0.98,0.55,1,0.5,"May Leave"
64,"Laura Davis",32,Other,USA,"New York",unknown,Unemployed,,0,"Entrepreneurship Essentials",Business,1650,0.59,31,2021-04-04,2025-01-26,0.43,0.56,5,0.5,"May Leave"
65,"Ryan Peck",32,unknown,USA,Florida,Postgraduate,unknown,,9.6,"AI for Business","AI & Data Science",2200,0.96,0,2024-03-19,2025-02-06,0.27,0.46,0,0.33,"Not Likely"
66,"Marcella Becker B.Sc.",34,Male,Germany,Hesse,Diploma,Unemployed,Finance,9.7,"Machine Learning Pro","AI & Data Science",2300,0.68,25,2023-08-17,2025-01-21,0.26,0.95,1,0.37,"Not Likely"
67,"Anvi Bhandari",32,Female,India,"Tamil Nadu",Postgraduate,Employed,Finance,0,"Business Analytics with Excel",Business,1400,0.13,56,2023-02-02,2025-04-10,0.15,0.7,3,0.57,"May Leave"
68,"Yuvraj Lanka",32,unknown,India,"West Bengal",Undergraduate,Unemployed,Finance,5.8,"MLOps Mastery","AI & Data Science",2550,0.18,0,2022-04-05,2025-03-29,0.6,0.61,2,0.59,"May Leave"
69,"Teresa Adkins",32,unknown,Australia,"New South Wales",unknown,Student,Finance,0,"Investment Banking 101",Finance,2150,2.21,0,2021-06-03,2025-02-05,0.16,0.44,4,0.52,"May Leave"
70,"Margot Ullmann",44,Male,Germany,Bavaria,Postgraduate,unknown,Finance,3.1,"Business Analytics with Excel",Business,1500,0.87,54,2020-08-03,2025-02-17,0.83,0.72,5,0.27,"Not Likely"
71,"Kathleen Cohen",32,Other,Singapore,Singapore,Diploma,Student,,0,"Deep Learning Essentials","AI & Data Science",2300,0.56,38,2024-02-27,2025-02-02,0.12,0.48,5,0.52,"May Leave"
72,"Brinda Rajagopalan",32,unknown,India,Karnataka,Undergraduate,Unemployed,Marketing,0,"Investment Banking 101",Finance,2100,2.21,0,2021-10-19,2025-04-24,0.65,0.64,0,0.61,"May Leave"
73,"Valerie Wright-Parsons",32,Male,UK,"Northern Ireland",Diploma,Freelancer,Marketing,0,"Digital Marketing Bootcamp",Marketing,1850,0.74,0,2020-04-26,2025-01-12,0.91,0.82,0,0.31,"Not Likely"
74,"Christopher Setty",19,Other,India,Karnataka,Graduate,Employed,Marketing,4.6,"Equity Research Essentials",Finance,1850,0.6,81,2024-10-18,2025-01-12,0.55,0.54,4,0.35,"Not Likely"
75,"Vinaya Bhandari",32,Male,India,Maharashtra,unknown,Freelancer,Marketing,0,"Negotiation & Influence",Business,1400,0.97,46,2022-10-17,2025-02-27,0.19,0.48,5,0.33,"Not Likely"
76,"Maria Bryant",36,Male,Canada,"British Columbia",Postgraduate,unknown,Marketing,0,"SEO & Content Strategy",Marketing,1600,0.81,0,2020-06-04,2025-01-20,0.93,0.57,5,0.35,"Not Likely"
77,"Declan Roberts",32,Other,UK,"Northern Ireland",unknown,Student,IT,7.3,"Lean Six Sigma",Operations,1500,0.32,0,2021-01-31,2025-05-01,0.31,0.76,4,0.49,"May Leave"
78,"Ayushman Mand",32,unknown,India,"West Bengal",Undergraduate,Freelancer,Finance,0,"AI for Business","AI & Data Science",2100,0.12,33,2024-07-02,2025-03-11,0.43,0.68,1,0.65,"May Leave"
79,"Aditya Basak",32,unknown,India,Maharashtra,Postgraduate,Freelancer,IT,0,"NLP in Action","AI & Data Science",2350,0.43,0,2025-01-26,2025-01-31,0.59,0.81,1,0.44,"May Leave"
80,"Steven Williams",23,Female,Singapore,Singapore,unknown,Student,IT,0,"AI for Business","AI & Data Science",2100,0.79,0,2024-03-11,2025-03-07,0.29,0.92,4,0.26,"Not Likely"
81,"Saumya Srinivas",32,unknown,India,"Tamil Nadu",Diploma,Employed,Finance,2.9,"Entrepreneurship Essentials",Business,1600,0.22,0,2023-07-23,2025-04-16,0.85,0.83,4,0.51,"May Leave"
82,"Robert Swaminathan",18,unknown,India,"Tamil Nadu",Graduate,Student,Finance,0,"Fintech Fundamentals",Finance,1950,0.91,18,2020-06-23,2025-03-12,0.69,0.89,2,0.31,"Not Likely"
83,"Zilmil Shan",32,Female,India,Maharashtra,unknown,Freelancer,Marketing,0,"AI for Business","AI & Data Science",2250,0.64,0,2021-03-10,2025-03-05,0.07,0.58,5,0.42,"May Leave"
84,"Yuvraj Goel",32,Other,India,Delhi,unknown,Unemployed,Marketing,0,"Equity Research Essentials",Finance,2000,0.63,0,2021-04-28,2025-01-28,0.86,0.69,3,0.39,"Not Likely"
85,"Wyatt Agrawal",22,unknown,India,Delhi,Postgraduate,Employed,,0,"Marketing Analytics",Marketing,1800,0.91,78,2020-02-18,2025-01-06,0.46,0.56,2,0.23,"Not Likely"
86,"John Martinez",24,Male,Australia,"New South Wales",Graduate,Freelancer,Finance,0,"AI Product Management","AI & Data Science",2500,2.21,52,2023-07-09,2025-04-12,0.96,0.95,5,0.36,"Not Likely"
87,"Wriddhish Kibe",27,Other,India,Delhi,unknown,Employed,Marketing,0,"AI Product Management","AI & Data Science",2600,0.96,0,2021-12-02,2025-05-04,0.7,0.76,3,0.24,"Not Likely"
88,"Daniel Chakraborty",32,Male,India,Maharashtra,Postgraduate,Employed,IT,0,"Personal Finance Mastery",Finance,1800,0.75,68,2020-04-25,2025-02-03,0.71,0.68,2,0.29,"Not Likely"
89,"Megha Deshmukh",41,Male,India,Delhi,Undergraduate,Employed,Finance,0,"Strategic Thinking",Business,1300,0.61,38,2021-12-21,2025-01-25,0.74,0.69,0,0.44,"May Leave"
90,"Balveer Bumb",30,unknown,India,"Tamil Nadu",Undergraduate,Student,Education,0,"Social Media Marketing",Marketing,1600,0.54,52,2024-06-12,2025-03-03,0.36,0.85,0,0.37,"Not Likely"
91,"Saskia Weihmann",32,unknown,Germany,Berlin,Postgraduate,Student,Finance,0,"Personal Finance Mastery",Finance,1850,0.02,0,2021-06-24,2025-03-15,0.81,0.88,5,0.58,"May Leave"
92,"Cassandra Gibson",18,Male,USA,Illinois,Postgraduate,Unemployed,Others,0,"Negotiation & Influence",Business,1500,0.97,59,2020-10-16,2025-02-28,0.34,0.57,0,0.26,"Not Likely"
93,"Ishaan Bhattacharyya",32,Other,India,"Tamil Nadu",Diploma,Freelancer,Marketing,0,"Fintech Fundamentals",Finance,1900,0.13,44,2020-06-15,2025-01-30,0.54,0.72,0,0.6,"May Leave"
94,"Kashish Shanker",27,Male,India,Maharashtra,unknown,Freelancer,Education,0,"Business Communication",Business,1300,0.39,0,2020-10-23,2025-04-09,0.92,0.82,5,0.45,"May Leave"
95,"Ekta Aurora",42,Male,India,"Tamil Nadu",unknown,Employed,Marketing,1.4,"Financial Modeling",Finance,2000,0.41,26,2021-01-06,2025-03-18,0.19,0.41,3,0.64,"May Leave"
96,,32,unknown,India,Maharashtra,Graduate,Unemployed,IT,0,"Business Communication",Business,1300,0.69,23,2022-06-23,2025-01-26,0.76,0.53,5,0.5,"May Leave"
97,"Kimberly Webb",19,Male,Canada,Quebec,Graduate,Student,Marketing,5.2,"Negotiation & Influence",Business,1550,0.93,40,2022-04-13,2025-03-04,0.62,0.91,5,0.23,"Not Likely"
98,"Devika Nair",18,Male,India,Maharashtra,Postgraduate,Employed,Marketing,0,"LLMs and Generative AI","AI & Data Science",2750,2.21,6,2020-09-20,2025-01-11,0.02,0.81,4,0.54,"May Leave"
99,"Oscar Dave",42,unknown,India,"Tamil Nadu",Graduate,unknown,IT,4,"Performance Management",HR,1300,0.64,42,2025-02-26,2025-03-04,0.98,0.46,2,0.48,"May Leave"
100,"Krish Vasa",40,unknown,India,Karnataka,Undergraduate,Employed,Others,0,"MLOps Mastery","AI & Data Science",2450,0.01,0,2023-08-12,2025-05-04,0.11,0.51,2,0.69,"May Leave"
101,,38,Other,UK,"Northern Ireland",Postgraduate,Employed,Marketing,0,"SEO & Content Strategy",Marketing,1600,0.03,56,2025-01-12,2025-04-15,0.42,0.69,1,0.61,"May Leave"
102,"Rita Williams",32,Other,UK,Scotland,Graduate,Student,,0,"Lean Six Sigma",Operations,1650,0.85,0,2022-03-25,2025-03-08,0.92,0.51,4,0.36,"Not Likely"
103,,42,Female,India,"Tamil Nadu",Undergraduate,Freelancer,Others,0,"NLP in Action","AI & Data Science",2250,0.11,57,2020-06-01,2025-04-11,0.15,0.57,1,0.61,"May Leave"
104,"Mahika Raj",32,Male,India,"Tamil Nadu",Postgraduate,Employed,Others,0,"Entrepreneurship Essentials",Business,1650,0.07,0,2024-07-18,2025-03-17,0.04,1,5,0.52,"May Leave"
105,"Cassidy Lee",27,Male,USA,California,Undergraduate,unknown,,0,"Computer Vision Crash Course","AI & Data Science",2250,0.21,0,2020-05-21,0000-00-00,0.48,0.73,3,0.55,"May Leave"
106,"Sergei Hofmann",28,Male,Germany,Berlin,unknown,Employed,Marketing,0,"Organizational Behavior",HR,1150,0.28,99,2024-09-26,2025-01-07,0.43,0.43,4,0.46,"May Leave"
107,"Siya Luthra",33,Male,India,Delhi,Graduate,Freelancer,Finance,8.1,"Business Communication",Business,1300,0.11,73,2024-01-29,2025-02-12,0.15,0.71,4,0.52,"May Leave"
108,"Dr Elliot Storey",32,Other,UK,England,unknown,Student,Marketing,0,"Personal Finance Mastery",Finance,1850,0.92,35,2024-03-07,2025-01-14,0.19,0.56,3,0.36,"Not Likely"
109,"Sai D’Alia",29,unknown,India,Karnataka,unknown,Employed,Marketing,0,"Operations Strategy",Operations,1550,0.3,68,2023-05-14,2025-04-25,0.61,0.53,1,0.52,"May Leave"
110,"David Sur",32,Female,India,"Tamil Nadu",Graduate,Unemployed,IT,0,"Business Communication",Business,1300,0.36,0,2020-03-13,2025-04-09,0.1,0.47,2,0.57,"May Leave"
111,"Shannon White",42,Male,Australia,Queensland,unknown,unknown,,0,"Fintech Fundamentals",Finance,1800,0.77,0,2020-12-18,2025-04-14,0.9,0.62,3,0.36,"Not Likely"
112,"Aarnav Bhagat",32,Female,India,"West Bengal",Postgraduate,unknown,,0,"Digital Marketing Bootcamp",Marketing,1850,0.55,50,2021-02-13,2025-03-18,0.12,0.77,0,0.4,"Not Likely"
113,"Nicholas Lewis",31,Other,Canada,Quebec,Postgraduate,Freelancer,Finance,0,"Social Media Marketing",Marketing,1700,0.17,0,2021-11-07,2025-01-15,0.62,0.55,2,0.62,"May Leave"
114,"Triveni Bala",32,Male,India,"West Bengal",Postgraduate,Unemployed,Others,5.2,"MLOps Mastery","AI & Data Science",2600,0.61,0,2023-04-03,2025-05-04,0.55,0.63,4,0.42,"May Leave"
115,"Julie Wade",18,Male,USA,California,Diploma,Student,Finance,0,"Data Science Bootcamp","AI & Data Science",2400,0.77,0,2022-01-14,2025-04-11,0.07,0.79,5,0.3,"Not Likely"
116,"Daniel Sanchez",32,unknown,USA,Illinois,unknown,unknown,IT,0.2,"Marketing Analytics",Marketing,1650,2.21,96,2024-04-13,2025-02-04,0.41,0.58,0,0.34,"Not Likely"
117,"Jerry Weaver",40,Other,USA,Illinois,Undergraduate,Student,Education,0,"Equity Research Essentials",Finance,1850,0.05,0,2021-07-17,2025-03-22,0.43,0.6,2,0.65,"May Leave"
118,"Veronica Flynn",42,Male,Singapore,Singapore,Undergraduate,unknown,Finance,0,"Equity Research Essentials",Finance,1950,0.34,0,2021-05-18,2025-01-15,0.6,0.92,1,0.44,"May Leave"
119,"Cameron Moore",25,Male,UK,Wales,Postgraduate,Employed,Others,9.1,"Logistics & Supply Chain",Operations,1550,0.74,41,2020-08-21,2025-01-21,0.01,0.88,1,0.32,"Not Likely"
120,"Nancy Hill",21,Other,Australia,"New South Wales",Undergraduate,Employed,Finance,0,"Talent Acquisition & Hiring",HR,1350,0.63,0,2021-01-03,2025-01-12,0.14,0.75,4,0.37,"Not Likely"
121,"Kavya Memon",32,Male,India,Maharashtra,Undergraduate,Employed,,0,"Equity Research Essentials",Finance,1950,0.51,0,2021-05-02,2025-04-19,0.7,0.41,0,0.52,"May Leave"
122,"Thomas Smith",32,Other,USA,Illinois,Postgraduate,Unemployed,,0,"Performance Management",HR,1350,0.12,0,2024-04-17,2025-04-16,0.69,0.51,5,0.65,"May Leave"
123,"Gagan Hans",32,unknown,India,Delhi,Diploma,Student,Education,0,"Deep Learning Essentials","AI & Data Science",2450,0.42,0,2024-08-15,2025-02-24,0.67,0.61,0,0.5,"May Leave"
124,"Saumya Ravi",24,unknown,India,"West Bengal",Undergraduate,Freelancer,Marketing,7.5,"Growth Hacking",Marketing,1650,0.63,8,2025-01-16,2025-01-27,0.48,0.82,5,0.48,"May Leave"
125,"Frederick Deo",32,Female,India,Karnataka,Graduate,Freelancer,Education,0,"AI Product Management","AI & Data Science",2500,0.61,43,2021-12-26,2025-04-12,0.51,0.53,5,0.47,"May Leave"
126,"Stephen Hall",41,Male,Canada,Ontario,Diploma,Freelancer,Others,0,"Performance Management",HR,1200,0.81,16,2023-07-19,2025-02-05,0.6,0.62,1,0.44,"May Leave"
127,"Tracy Marsh",35,Female,USA,California,Postgraduate,Freelancer,Education,0,"Branding & Consumer Behavior",Marketing,1700,0.39,23,2022-08-10,2025-02-16,0.67,0.7,1,0.56,"May Leave"
128,"Joseph Ramos",32,Female,USA,California,unknown,Student,Marketing,0,"Machine Learning Pro","AI & Data Science",2200,0.54,47,2021-04-27,2025-05-01,0.9,0.52,1,0.49,"May Leave"
129,"Jason Jensen",32,Other,Australia,Victoria,Graduate,Employed,,0,"Project Management Pro",Operations,1700,0.23,82,2024-08-25,2025-04-27,0.03,0.86,1,0.4,"Not Likely"
130,"Robert Sha",32,unknown,India,"Tamil Nadu",Diploma,Freelancer,Finance,8.5,"Quantitative Finance with Python",Finance,2200,0.43,0,2022-03-22,0000-00-00,0.26,0.52,3,0.52,"May Leave"
131,"Vicki Mitchell",32,Female,USA,Florida,Diploma,Unemployed,Others,0,"Growth Hacking",Marketing,1700,2.21,99,2021-02-24,2025-03-08,0.87,0.87,2,0.44,"May Leave"
133,"Chandani Sarkar",39,unknown,India,Delhi,Undergraduate,Student,,6.6,"SEO & Content Strategy",Marketing,1500,0.01,56,2022-08-13,2025-04-23,0.22,0.83,3,0.58,"May Leave"
134,"Katherine Mcdonald",37,unknown,Singapore,Singapore,Graduate,Unemployed,Finance,0,"Logistics & Supply Chain",Operations,1550,0.77,0,2023-07-10,2025-04-09,0.68,0.66,3,0.34,"Not Likely"
135,"Chakradhar Dass",32,unknown,India,"West Bengal",Postgraduate,Employed,Finance,5.5,"Investment Banking 101",Finance,2100,0.98,80,2024-04-22,2025-04-22,0.18,0.57,2,0.2,"Not Likely"
